Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR33705622_2 - polya	(1, 0.005218583783198389)	(2, 0.009948638725799902)	(3, 0.013067005063441633)	(4, 0.020171218857541976)	(5, 0.024476664620933123)	(6, 0.028097256869468838)	(7, 0.03202831604473901)	(8, 0.03995435405666588)	(9, 0.0506243718181135)	(10, 0.07023127137941461)	(15, 0.09874765859997495)	(20, 0.12849221645717607)	(25, 0.15851162885833914)	(30, 0.18386490597828722)	(35, 0.20716727510574823)	(40, 0.23162111127618618)	(45, 0.2550659299347371)	(50, 0.2776323098182335)	(55, 0.3052812159199769)	(60, 0.3281945882510001)	(65, 0.35281735495510236)	(70, 0.3777359783776222)	(75, 0.40278518053697443)	(80, 0.42692854978067796)	(85, 0.45820170068303645)	(90, 0.4878001564570683)	(95, 0.5155348975326737)	(100, 0.5382638159836958)	(105, 0.5601919123913468)	(110, 0.5821884941504835)	(115, 0.6039339629541731)	(120, 0.62640355020757)	(125, 0.6510016621851376)	(130, 0.6748674374708195)	(135, 0.6975233048802569)	(140, 0.7110925358545926)
SRR33705622_2 - polyg	(1, 0.31912347516223494)	(2, 0.33430439474153034)	(3, 0.3387742053484868)	(4, 0.340696360880181)	(5, 0.3437051506554459)	(6, 0.34653587851684836)	(7, 0.3507043535772684)	(8, 0.35473129224461836)	(9, 0.35970789445256784)	(10, 0.3698026352615369)	(15, 0.37860528577247865)	(20, 0.3841279445162729)	(25, 0.3877065324158974)	(30, 0.3908011571650242)	(35, 0.3934803041151387)	(40, 0.39604987450287626)	(45, 0.39831536993001804)	(50, 0.40039641147715865)	(55, 0.4023852260842989)	(60, 0.4041567138427249)	(65, 0.40625693128828166)	(70, 0.408054900049282)	(75, 0.4098793498128569)	(80, 0.4133921917750554)	(85, 0.41802180153547813)	(90, 0.426108551838891)	(95, 0.4369803731027161)	(100, 0.4459044709702923)	(105, 0.45284431992082724)	(110, 0.45900160958838754)	(115, 0.4656419492684257)	(120, 0.4730319752627258)	(125, 0.481534203365151)	(130, 0.4918974067519434)	(135, 0.5050538993413262)	(140, 0.5145076172603905)
SRR33705623_1 - illumina_universal_adapter	(1, 9.932675033059613e-05)	(2, 0.00015978651140139378)	(3, 0.0003670771207869857)	(4, 0.0012998848630221495)	(5, 0.0014812641462345424)	(6, 0.0019822164522497227)	(7, 0.002202462724721914)	(8, 0.002517717193162502)	(9, 0.0028977499770360873)	(10, 0.005481109196504027)	(15, 0.011992625463828933)	(20, 0.019892988814037303)	(25, 0.025114984748809344)	(30, 0.029329893806316377)	(35, 0.03317858945390887)	(40, 0.036889091361910965)	(45, 0.04219227611869236)	(50, 0.04920647211377732)	(55, 0.05877552486953972)	(60, 0.07210949331826791)	(65, 0.08999780919737206)	(70, 0.11427672182165952)	(75, 0.14712278258967898)	(80, 0.19182759363629923)	(85, 0.25277103279566326)	(90, 0.33349604206651984)	(95, 0.4390708768483467)	(100, 0.5742286727221148)	(105, 0.7456269130925914)	(110, 0.9590334591659306)	(115, 1.2216361128225783)	(120, 1.543321772419354)	(125, 1.9277758922489592)	(130, 2.376283674089585)	(135, 2.9032820451740653)	(140, 3.254151631439715)
SRR33705623_1 - polya	(1, 0.0040162555568458436)	(2, 0.0076481597754559025)	(3, 0.009958586359232812)	(4, 0.015905235715981982)	(5, 0.019135514378907453)	(6, 0.022339881715659732)	(7, 0.02545787796516801)	(8, 0.03224664542254614)	(9, 0.04063759654830042)	(10, 0.05654024113166508)	(15, 0.0801463229863218)	(20, 0.10469989566804516)	(25, 0.12985029256262454)	(30, 0.1505525784641381)	(35, 0.1704067002889156)	(40, 0.192168759430913)	(45, 0.2125937941423733)	(50, 0.23297650702108408)	(55, 0.2572606019106062)	(60, 0.27696616546532404)	(65, 0.2988534626838252)	(70, 0.3213151276324989)	(75, 0.343916713742508)	(80, 0.3654844379382064)	(85, 0.3939601216916797)	(90, 0.4218778482215567)	(95, 0.44784272446884693)	(100, 0.4692506621531439)	(105, 0.4894839530509226)	(110, 0.5101102323956614)	(115, 0.5301042753817742)	(120, 0.5509775760360309)	(125, 0.5739039174340773)	(130, 0.5964666365548266)	(135, 0.6172492475674771)	(140, 0.6291615479201691)
SRR33705623_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.05285478683896374)	(4, 0.06468330723702909)	(5, 0.06958486643812589)	(6, 0.0719082486849894)	(7, 0.07357952922316073)	(8, 0.07484486565128529)	(9, 0.07601519388344144)	(10, 0.07805096040978243)	(15, 0.08001244780109361)	(20, 0.08125014548130008)	(25, 0.08241874629171135)	(30, 0.08367371818936661)	(35, 0.085358818101497)	(40, 0.08789553693385319)	(45, 0.09061363504942176)	(50, 0.09321340477546605)	(55, 0.09603860303921719)	(60, 0.10002549242640006)	(65, 0.10521293992627449)	(70, 0.11038743176306236)	(75, 0.11546173313864713)	(80, 0.12210366974771047)	(85, 0.13020527773119736)	(90, 0.13843212379118808)	(95, 0.14643699615696165)	(100, 0.15419052865885524)	(105, 0.16290191651828473)	(110, 0.17324312679400844)	(115, 0.18610810023900176)	(120, 0.2032337594177414)	(125, 0.2257213356925884)	(130, 0.25509873359688895)	(135, 0.2943017063860666)	(140, 0.32238440169257965)
SRR33705623_2 - illumina_universal_adapter	(1, 4.750409798419815e-05)	(2, 7.773397851959697e-05)	(3, 0.0002332019355587909)	(4, 0.000975993285857162)	(5, 0.001101231362360957)	(6, 0.0014683084831479429)	(7, 0.0015849094509273382)	(8, 0.001844022712659328)	(9, 0.002154958626737716)	(10, 0.004423063377765068)	(15, 0.01077133829019882)	(20, 0.018707113786177232)	(25, 0.024204633489257617)	(30, 0.028871263333050755)	(35, 0.03324077663672455)	(40, 0.037571422951138536)	(45, 0.04345156657070983)	(50, 0.051072951309120096)	(55, 0.06128892350834001)	(60, 0.07521280648294472)	(65, 0.09368930946618048)	(70, 0.1184691743964831)	(75, 0.15204679827345924)	(80, 0.19743825946366922)	(85, 0.25917199407131586)	(90, 0.34061992934240465)	(95, 0.4473486818498113)	(100, 0.5838175908279434)	(105, 0.7569985304391361)	(110, 0.9725298052586776)	(115, 1.2374135193294393)	(120, 1.5608542394190128)	(125, 1.9461357942644155)	(130, 2.3952006696177652)	(135, 2.9221480817607715)	(140, 3.2739435660816767)
SRR33705623_2 - polya	(1, 0.004789276787679614)	(2, 0.008961000301564652)	(3, 0.011534858701435752)	(4, 0.0179997345816489)	(5, 0.021761195431124952)	(6, 0.02512103072491642)	(7, 0.028372902159652897)	(8, 0.03534736745460562)	(9, 0.04446383571320947)	(10, 0.06159554086805621)	(15, 0.08700677844611246)	(20, 0.1128801013409241)	(25, 0.1382386525557615)	(30, 0.1602494604290216)	(35, 0.18064944752518114)	(40, 0.2025954770830083)	(45, 0.22443958875788747)	(50, 0.24605827189505983)	(55, 0.27172948644572054)	(60, 0.2923004882946232)	(65, 0.31473451449537887)	(70, 0.33778868510254645)	(75, 0.36034794937980597)	(80, 0.3825591381754721)	(85, 0.41125852304490734)	(90, 0.43919784234659537)	(95, 0.46569562820218113)	(100, 0.4873514509068683)	(105, 0.5075545119241116)	(110, 0.5280987387359686)	(115, 0.5484702233733377)	(120, 0.5697175108353609)	(125, 0.5929608341235928)	(130, 0.6152912150196557)	(135, 0.6361869721565958)	(140, 0.6482538767554545)
SRR33705623_2 - polyg	(1, 0.24565232778501303)	(2, 0.2557059223402142)	(3, 0.2586641320783211)	(4, 0.26032677550776806)	(5, 0.2622658064163958)	(6, 0.2646453298699679)	(7, 0.2673962489986892)	(8, 0.27107133876092127)	(9, 0.27565764349357746)	(10, 0.2850487718096172)	(15, 0.29396399543494256)	(20, 0.3001386644620159)	(25, 0.3044140332805937)	(30, 0.30795006559236293)	(35, 0.31108533605932004)	(40, 0.31420765086319047)	(45, 0.3170751709596912)	(50, 0.3198891409821006)	(55, 0.3224500437188851)	(60, 0.3249176656814461)	(65, 0.32752261767272495)	(70, 0.32980972406294606)	(75, 0.3322859831342314)	(80, 0.33638601864570394)	(85, 0.3415112789627627)	(90, 0.3499151857516035)	(95, 0.36030390012531155)	(100, 0.3681852618363262)	(105, 0.3748306532888793)	(110, 0.3815054109110953)	(115, 0.3878441850039323)	(120, 0.3958024169825941)	(125, 0.4056478572175373)	(130, 0.4179825121868525)	(135, 0.4341857281538262)	(140, 0.44593824199511684)
SRR33705624_1 - illumina_universal_adapter	(1, 0.0003346794546672115)	(2, 0.0006041616129706805)	(3, 0.0012952529544263509)	(4, 0.0036119302185513343)	(5, 0.004285635614310007)	(6, 0.005541770190918113)	(7, 0.006245900991646531)	(8, 0.00712823773576918)	(9, 0.008236591773952803)	(10, 0.015491746913310067)	(15, 0.03479710101525664)	(20, 0.0568737748613047)	(25, 0.07051131066602993)	(30, 0.07961893831940234)	(35, 0.08764689874499117)	(40, 0.09709529093402473)	(45, 0.10891686471069853)	(50, 0.12347933282650403)	(55, 0.14067142522898052)	(60, 0.16099124926234692)	(65, 0.18466482222066424)	(70, 0.2121693883133151)	(75, 0.2445437577956951)	(80, 0.2834995770216736)	(85, 0.3288595093451414)	(90, 0.38427547265975287)	(95, 0.4523849149277425)	(100, 0.5345352469406277)	(105, 0.6331561546095641)	(110, 0.7530783229464623)	(115, 0.8986082507004689)	(120, 1.0757762531365878)	(125, 1.2895329782920386)	(130, 1.5474682607608465)	(135, 1.8564199929856404)	(140, 2.066189251495485)
SRR33705624_1 - polya	(1, 0.003981381564612542)	(2, 0.00764981610667912)	(3, 0.009962146884379854)	(4, 0.013965260881113642)	(5, 0.016707893814815078)	(6, 0.01922016296803129)	(7, 0.022006260765975217)	(8, 0.027687118522469314)	(9, 0.03580635516296738)	(10, 0.04961775042466259)	(15, 0.0716744304331591)	(20, 0.09459953842922067)	(25, 0.11859822857207185)	(30, 0.13896586395610502)	(35, 0.15653523138020634)	(40, 0.17550764462205543)	(45, 0.19371507625323656)	(50, 0.21170866075234462)	(55, 0.23330809038901007)	(60, 0.250810521922178)	(65, 0.2708965049859197)	(70, 0.2917726792815901)	(75, 0.31245934676916315)	(80, 0.3323453914573895)	(85, 0.3577758142283885)	(90, 0.38283070057233226)	(95, 0.4065790330971467)	(100, 0.4252732712078438)	(105, 0.44300085073778783)	(110, 0.4603294228139857)	(115, 0.47687128084739444)	(120, 0.4951021835052666)	(125, 0.5150551640844264)	(130, 0.5357357464910054)	(135, 0.5557669638258016)	(140, 0.5669643821519532)
