Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR33705624_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.01285690684293002)	(4, 0.01537352248257048)	(5, 0.016316710036632622)	(6, 0.016786130570451568)	(7, 0.017164274889361276)	(8, 0.01747722191190724)	(9, 0.017950988932150434)	(10, 0.018796815190309388)	(15, 0.01991733939048091)	(20, 0.020973535591573538)	(25, 0.021943671361466025)	(30, 0.02288338172638877)	(35, 0.024158640843263572)	(40, 0.02609543519390915)	(45, 0.028334744999682488)	(50, 0.030481039995976893)	(55, 0.03303242752701135)	(60, 0.03767099783897042)	(65, 0.04612752182599024)	(70, 0.05616529757415204)	(75, 0.06563629149259169)	(80, 0.0787244314132918)	(85, 0.0978124611940259)	(90, 0.11901114478237558)	(95, 0.13621193015770053)	(100, 0.1494235102928493)	(105, 0.16186315443905136)	(110, 0.17587101088712265)	(115, 0.19192606244101545)	(120, 0.21171735372519312)	(125, 0.23472678355788515)	(130, 0.26146462944529836)	(135, 0.29303924542561643)	(140, 0.3135598771317832)
SRR33705624_2 - illumina_universal_adapter	(1, 0.00017820594339422948)	(2, 0.0002912145904247165)	(3, 0.0007302097192739159)	(4, 0.0023514491555189795)	(5, 0.002799137257216678)	(6, 0.0035423864357633423)	(7, 0.003968342105339793)	(8, 0.004615968582552969)	(9, 0.005437454516736124)	(10, 0.011937190315558826)	(15, 0.030779208964680404)	(20, 0.05312275707717738)	(25, 0.06760090335635247)	(30, 0.07778993683207816)	(35, 0.0868966951881657)	(40, 0.09751516152260722)	(45, 0.1103416429605675)	(50, 0.12580296446890782)	(55, 0.14384175242682812)	(60, 0.164975238718814)	(65, 0.18955809663708434)	(70, 0.21819709568646434)	(75, 0.25158332720840954)	(80, 0.2915075436097109)	(85, 0.337890638837447)	(90, 0.39449145435130883)	(95, 0.46367360946880326)	(100, 0.5466045704434838)	(105, 0.6462929751782157)	(110, 0.7675808095496132)	(115, 0.9146493934978042)	(120, 1.0934873160181193)	(125, 1.3086983755311243)	(130, 1.5682575053280317)	(135, 1.8790982205528046)	(140, 2.0902253214215842)
SRR33705624_2 - polya	(1, 0.004685512365340961)	(2, 0.008892911224014477)	(3, 0.01154861442923092)	(4, 0.016038534905480656)	(5, 0.019015878106091563)	(6, 0.02144556401724703)	(7, 0.024192543437372715)	(8, 0.029999449300170046)	(9, 0.038249080533395596)	(10, 0.051779692772084294)	(15, 0.07415975137054497)	(20, 0.09814714064869312)	(25, 0.1223023043028173)	(30, 0.14160157332376988)	(35, 0.1589510085348042)	(40, 0.1778373613454531)	(45, 0.19618301124492543)	(50, 0.2142391851485427)	(55, 0.23524227684780116)	(60, 0.2526412620040719)	(65, 0.2726759565280076)	(70, 0.2933095968812047)	(75, 0.31336515453997676)	(80, 0.3323514765383835)	(85, 0.3572750989923149)	(90, 0.3812468409193358)	(95, 0.4039459316213364)	(100, 0.42217161849549945)	(105, 0.4400973978063892)	(110, 0.45820399095252773)	(115, 0.4749292707130398)	(120, 0.4926394642972868)	(125, 0.5119735052096335)	(130, 0.5323993835117514)	(135, 0.5519829127448501)	(140, 0.5627526368068555)
SRR33705624_2 - polyg	(1, 0.20776639756555035)	(2, 0.2167375455452013)	(3, 0.21948017847890275)	(4, 0.2206363438677531)	(5, 0.22209241681987668)	(6, 0.22366584490545502)	(7, 0.2255000621764883)	(8, 0.22745163458097634)	(9, 0.22974657941298007)	(10, 0.23468418799092747)	(15, 0.23905936122557706)	(20, 0.24175679070046624)	(25, 0.24377529899588773)	(30, 0.24560343118592712)	(35, 0.24709166813759015)	(40, 0.24883982497742324)	(45, 0.25027416549742554)	(50, 0.25174414720610677)	(55, 0.2530941658894787)	(60, 0.25439811181675354)	(65, 0.256080202062938)	(70, 0.257580609176589)	(75, 0.25971212611904093)	(80, 0.2662614118631001)	(85, 0.27616444653211014)	(90, 0.2965451213754161)	(95, 0.3209410803774436)	(100, 0.33836614445225993)	(105, 0.3503581004967643)	(110, 0.3611938911524183)	(115, 0.3734431591932382)	(120, 0.3878691476353223)	(125, 0.405146431171714)	(130, 0.42511505910200115)	(135, 0.4485643533608272)	(140, 0.46419171065057385)
SRR33705625_1 - illumina_universal_adapter	(1, 0.00032539577987310747)	(2, 0.0005620472561444584)	(3, 0.0011832573813567544)	(4, 0.0034906092750024258)	(5, 0.0040970286829477625)	(6, 0.0051570300870798546)	(7, 0.005585960887821678)	(8, 0.006453682967483298)	(9, 0.007296753851699986)	(10, 0.012466602560411206)	(15, 0.024817837526140127)	(20, 0.03813046911422142)	(25, 0.04610660991238373)	(30, 0.05125575161692122)	(35, 0.055075700863067935)	(40, 0.05915103649402416)	(45, 0.06428045724220569)	(50, 0.07052115388104477)	(55, 0.07888283937596582)	(60, 0.08946214641311301)	(65, 0.1029522666083978)	(70, 0.1205256108171812)	(75, 0.14439191219914693)	(80, 0.1761998427056521)	(85, 0.21840268930737636)	(90, 0.27506099691800895)	(95, 0.3493074394546919)	(100, 0.4468660244997385)	(105, 0.5713585056879182)	(110, 0.728583830235697)	(115, 0.9265506785192243)	(120, 1.173312103066451)	(125, 1.4740754224031642)	(130, 1.8320216267895781)	(135, 2.253903171681969)	(140, 2.535296567685872)
SRR33705625_1 - polya	(1, 0.002829957237078238)	(2, 0.005837403081359989)	(3, 0.0075531262843272825)	(4, 0.011595922337296194)	(5, 0.014268111923526864)	(6, 0.016639556925329358)	(7, 0.018996211209864895)	(8, 0.02425184607872448)	(9, 0.03141548347502183)	(10, 0.04438792856596305)	(15, 0.06341470725817966)	(20, 0.08352712459779109)	(25, 0.1041256635115766)	(30, 0.12048715495228712)	(35, 0.13520983491981853)	(40, 0.1515989356994274)	(45, 0.16724061223314587)	(50, 0.18286158176269063)	(55, 0.20205204439266158)	(60, 0.21689896638523548)	(65, 0.23335610446427232)	(70, 0.25106749536754736)	(75, 0.26799695035130916)	(80, 0.28385752950057863)	(85, 0.3050082551923306)	(90, 0.3259657155117943)	(95, 0.34615208643774054)	(100, 0.3615423207779207)	(105, 0.37577000474091793)	(110, 0.3901948982674746)	(115, 0.4042736890099844)	(120, 0.41937599738736775)	(125, 0.43598991706943435)	(130, 0.4526422926163951)	(135, 0.4678954663099014)	(140, 0.4770992366412214)
SRR33705625_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.011965690268970179)	(4, 0.014642810094289837)	(5, 0.015663369585710036)	(6, 0.016131742299163754)	(7, 0.01658039405626152)	(8, 0.016831836249799833)	(9, 0.017250906572363684)	(10, 0.01796973543153791)	(15, 0.019006071688042865)	(20, 0.01989647286751383)	(25, 0.02080363685988734)	(30, 0.021835042877303305)	(35, 0.023327919273448416)	(40, 0.02594686227751803)	(45, 0.029664262550613836)	(50, 0.034907078797842064)	(55, 0.040616295662888394)	(60, 0.04986542419382702)	(65, 0.061026499443474616)	(70, 0.06953905025451866)	(75, 0.07630333828460811)	(80, 0.08337034299476134)	(85, 0.09188387985362317)	(90, 0.10094664534699813)	(95, 0.10994926192348742)	(100, 0.11940447444834568)	(105, 0.12968796714015368)	(110, 0.14216048598747166)	(115, 0.15769566935686805)	(120, 0.17790077519135244)	(125, 0.20428445665215467)	(130, 0.2376769660018601)	(135, 0.2815511636547507)	(140, 0.31272013517532327)
SRR33705625_2 - illumina_universal_adapter	(1, 0.0001725583681145267)	(2, 0.0002662329108052698)	(3, 0.0007247451460810121)	(4, 0.0023615845236245226)	(5, 0.002751073411654454)	(6, 0.003441306884112561)	(7, 0.003717400273095804)	(8, 0.0043583313546640455)	(9, 0.005033774109855193)	(10, 0.0095153614417439)	(15, 0.02137948878548096)	(20, 0.03473550647754532)	(25, 0.04310113616373758)	(30, 0.048882334519483116)	(35, 0.05350985692840583)	(40, 0.05844995649557028)	(45, 0.06432975963309555)	(50, 0.07129125722674447)	(55, 0.08031753895086088)	(60, 0.09161074460809332)	(65, 0.1057260191198616)	(70, 0.1238160523851708)	(75, 0.14834497790069628)	(80, 0.18080172787131207)	(85, 0.22364254741115114)	(90, 0.2810403908851317)	(95, 0.35615652759711186)	(100, 0.45463706735179893)	(105, 0.5801343312663143)	(110, 0.7391355279339459)	(115, 0.9391070114310551)	(120, 1.1875269684078167)	(125, 1.4884589019213732)	(130, 1.8459633568854141)	(135, 2.267210873030961)	(140, 2.548785701833339)
SRR33705625_2 - polya	(1, 0.003318050906887899)	(2, 0.006971358071826878)	(3, 0.009101221358269036)	(4, 0.013794808970984163)	(5, 0.016412765927235982)	(6, 0.018853234276284287)	(7, 0.021589516970671782)	(8, 0.027086733554891704)	(9, 0.03444265027565953)	(10, 0.04728789519810489)	(15, 0.06660654404438951)	(20, 0.08726621792287845)	(25, 0.10834003188484223)	(30, 0.12524384962534127)	(35, 0.14049505122321204)	(40, 0.15701332426695233)	(45, 0.17271021947846746)	(50, 0.18824244470441048)	(55, 0.20666872027558852)	(60, 0.22202049875087462)	(65, 0.23859399047241156)	(70, 0.25585672961858885)	(75, 0.2725071330699139)	(80, 0.2881951538510689)	(85, 0.30976988010447376)	(90, 0.33038912602243303)	(95, 0.34986948671083634)	(100, 0.3649047438366095)	(105, 0.37874984124630134)	(110, 0.39330390703698936)	(115, 0.40730874419316443)	(120, 0.42238837347073843)	(125, 0.4395801171740342)	(130, 0.4559287899931134)	(135, 0.4713209964289292)	(140, 0.4798305890965199)
SRR33705625_2 - polyg	(1, 0.2353005907609686)	(2, 0.24384962534127114)	(3, 0.24611260508311594)	(4, 0.24765083967887971)	(5, 0.24901651590652898)	(6, 0.2508801462821659)	(7, 0.2532368005667014)	(8, 0.25566247819848276)	(9, 0.25854173782645085)	(10, 0.2648761090079807)	(15, 0.2706868887982602)	(20, 0.2740512839525845)	(25, 0.2765213337361667)	(30, 0.2784786386544944)	(35, 0.2801845013792837)	(40, 0.28219110868850117)	(45, 0.2840902367855788)	(50, 0.28569848077640614)	(55, 0.287426036553187)	(60, 0.2892236017250315)	(65, 0.2912075299344396)	(70, 0.29284338326416537)	(75, 0.2952256747919636)	(80, 0.30152947849114176)	(85, 0.309462233185321)	(90, 0.3229040370375337)	(95, 0.3385575461450658)	(100, 0.3495480351222344)	(105, 0.3575754504069222)	(110, 0.36421451036415137)	(115, 0.37109416598892314)	(120, 0.3792034232424881)	(125, 0.38841212381289697)	(130, 0.3996934968963159)	(135, 0.41357803621871964)	(140, 0.42323144435495513)
SRR33705626_1 - illumina_universal_adapter	(1, 0.00023844383118525248)	(2, 0.0003943494131140714)	(3, 0.0008437243257324318)	(4, 0.0026916640174181384)	(5, 0.0031639662214966195)	(6, 0.00403978875527322)	(7, 0.004654240166404447)	(8, 0.00534205891020806)	(9, 0.00607114677863989)	(10, 0.011439801346941688)	(15, 0.025638214402365068)	(20, 0.042740139648298106)	(25, 0.053905730589376755)	(30, 0.0618550810844297)	(35, 0.06852508871600795)	(40, 0.07660650040987119)	(45, 0.08657436964507315)	(50, 0.09957322681130303)	(55, 0.11701264178752904)	(60, 0.14039939616851027)	(65, 0.17109628815863634)	(70, 0.21148225351980923)	(75, 0.263605157925247)	(80, 0.33233842644771283)	(85, 0.42021506624772087)	(90, 0.5332255200379713)	(95, 0.674232947976004)	(100, 0.8467699871299942)	(105, 1.0593765950230078)	(110, 1.3144775619998668)	(115, 1.61692613711685)	(120, 1.9769313847153192)	(125, 2.396400855444757)	(130, 2.880144695053496)	(135, 3.429878782034413)	(140, 3.7892714124050677)
SRR33705626_1 - polya	(1, 0.0036408538838671243)	(2, 0.007185413143601742)	(3, 0.009276382124764726)	(4, 0.013976476874089414)	(5, 0.01697995205536519)	(6, 0.019570735990358797)	(7, 0.022450403797749926)	(8, 0.02813178662156777)	(9, 0.03603253125872527)	(10, 0.05046480268704188)	(15, 0.07212192220027164)	(20, 0.09490981572831453)	(25, 0.11797191966222047)	(30, 0.13708410982337685)	(35, 0.15497381680387962)	(40, 0.1743501293626566)	(45, 0.19327523282549838)	(50, 0.21049913126199932)	(55, 0.23221035918307492)	(60, 0.2500432064807566)	(65, 0.2694791299973299)	(70, 0.28910855985382666)	(75, 0.30839408033842153)	(80, 0.3272118840772299)	(85, 0.3524328217750208)	(90, 0.3761809102694135)	(95, 0.3989238663061946)	(100, 0.41674387432065857)	(105, 0.4337403340258751)	(110, 0.4505533753994106)	(115, 0.4667372918952804)	(120, 0.4842427374709116)	(125, 0.5040234874510451)	(130, 0.522812861348443)	(135, 0.540343068398851)	(140, 0.550199969543386)
SRR33705626_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.03714679762368712)	(4, 0.043997472311971104)	(5, 0.04671664907914139)	(6, 0.04793179552652777)	(7, 0.04888557085126878)	(8, 0.04970178242724907)	(9, 0.05060970316906983)	(10, 0.05201377049808761)	(15, 0.053521469184505135)	(20, 0.05468159013238723)	(25, 0.05564178509873707)	(30, 0.056701943055853035)	(35, 0.05827934070830933)	(40, 0.060088762550342026)	(45, 0.061832153792969594)	(50, 0.06375712918396129)	(55, 0.06571328569133876)	(60, 0.06853059126595837)	(65, 0.07325636458171839)	(70, 0.07938437104317939)	(75, 0.08619194242351834)	(80, 0.09611487416745847)	(85, 0.11155594642002038)	(90, 0.12858633851659781)	(95, 0.14200705784569392)	(100, 0.15280581212341066)	(105, 0.1628910690908884)	(110, 0.17492606292413485)	(115, 0.18946104861819277)	(120, 0.2079349429850994)	(125, 0.23194531969379595)	(130, 0.26242852932751365)	(135, 0.3016516224658293)	(140, 0.33020343706694644)
SRR33705626_2 - illumina_universal_adapter	(1, 0.00014214920705274666)	(2, 0.00020176016484905977)	(3, 0.000531913161874794)	(4, 0.001921307024358092)	(5, 0.002242289104799778)	(6, 0.0027879586415506443)	(7, 0.0031823080546647155)	(8, 0.0036362684255751)	(9, 0.0042002797954940625)	(10, 0.008823338845512747)	(15, 0.022551283880174456)	(20, 0.039865057299199)	(25, 0.05172121825905648)	(30, 0.06068487212830516)	(35, 0.06845263847499397)	(40, 0.07762447215070054)	(45, 0.08879098018343759)	(50, 0.10304258455504844)	(55, 0.12166137940398306)	(60, 0.1461137942920307)	(65, 0.17780573073152595)	(70, 0.21904000587672337)	(75, 0.2722643373639054)	(80, 0.3419541324860874)	(85, 0.43102941108363046)	(90, 0.5455292217271304)	(95, 0.6881232182342034)	(100, 0.8619423515266436)	(105, 1.0764977791937675)	(110, 1.3343711142539842)	(115, 1.6390830715839104)	(120, 2.0003181390963007)	(125, 2.420137938839249)	(130, 2.903232477553838)	(135, 3.4517752624704863)	(140, 3.811405419580668)
SRR33705626_2 - polya	(1, 0.00418652342061799)	(2, 0.008244654009059306)	(3, 0.01049152857215111)	(4, 0.016131642271340733)	(5, 0.019382732200385812)	(6, 0.0221982035916886)	(7, 0.025054944107619607)	(8, 0.030809694264109833)	(9, 0.03899932277366485)	(10, 0.05440371135989056)	(15, 0.07729707042865001)	(20, 0.10147344072751781)	(25, 0.1254618072364126)	(30, 0.14547366431446412)	(35, 0.16336245420330847)	(40, 0.18234166607399618)	(45, 0.20098155403107407)	(50, 0.21885842172835918)	(55, 0.24065035371537444)	(60, 0.25828877758147434)	(65, 0.2777815607808687)	(70, 0.2978154280587219)	(75, 0.3176539548133349)	(80, 0.33636537591976834)	(85, 0.36061144518467503)	(90, 0.3844567453948587)	(95, 0.40666962245308164)	(100, 0.4243970042100468)	(105, 0.44148884144773737)	(110, 0.45774245690964593)	(115, 0.47414739249519133)	(120, 0.49129058686575255)	(125, 0.510826473373092)	(130, 0.5296763753199446)	(135, 0.5467773834742193)	(140, 0.5562711163220259)
SRR33705626_2 - polyg	(1, 0.31430565316849896)	(2, 0.32443034507728813)	(3, 0.3272870855932191)	(4, 0.3290387306607723)	(5, 0.3310517468509709)	(6, 0.33395434194982215)	(7, 0.33695781713109796)	(8, 0.34047027818278836)	(9, 0.3443770886475929)	(10, 0.35316282673511107)	(15, 0.360948934914968)	(20, 0.3654812018908046)	(25, 0.36854337093821826)	(30, 0.3709709125580158)	(35, 0.3731104873970742)	(40, 0.37537111833504205)	(45, 0.3772429024098463)	(50, 0.37897528855257306)	(55, 0.3806884157704732)	(60, 0.3824437292046601)	(65, 0.3842733270631777)	(70, 0.38607816344691837)	(75, 0.3882177382859768)	(80, 0.39354237245467516)	(85, 0.40118541433582094)	(90, 0.41624314227516956)	(95, 0.4357937022490435)	(100, 0.45028558463515644)	(105, 0.4613768911519043)	(110, 0.4709384887824329)	(115, 0.4816574560858683)	(120, 0.49452241786997114)	(125, 0.5104000257519338)	(130, 0.5306090575365424)	(135, 0.55675167235103)	(140, 0.5756492630641197)
